version,axis,char,family,speed,gamma,lambda,mu,sigma,converged,n_trials,n_rows,n_participants,note
excl_clamp0,nominal,ら,wipe,pooled,0.01389,0.875,24.78022,0.52459,True,121,121,40,
excl_clamp0,nominal,ら,wipe,300,0.01389,0.9,24.51138,0.23697,True,57,57,19,
excl_clamp0,nominal,ら,wipe,500,0.01389,0.83333,25.04971,0.43081,True,64,64,21,
incl_clamp0,actual,あ,fade,pooled,0.01389,0.97037,1.20542,0.40921,True,133,133,50,
incl_clamp0,actual,あ,fade,300,0.01389,0.94998,0.88265,0.0996,True,76,76,32,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性)
incl_clamp0,actual,あ,fade,500,0.01389,1.0,1.47762,0.69309,True,57,57,19,
incl_clamp0,actual,あ,reveal,pooled,0.01389,1.0,1.52681,0.79238,True,144,144,56,
incl_clamp0,actual,あ,reveal,300,0.01389,1.0,1.03375,0.38479,True,81,81,37,
incl_clamp0,actual,あ,reveal,500,0.01389,1.0,2.03508,1.11881,True,63,63,21,
incl_clamp0,actual,あ,blur,pooled,0.01389,1.0,45.43578,13.65409,True,133,133,48,
incl_clamp0,actual,あ,blur,300,0.01389,1.0,47.95576,12.35955,True,73,73,31,
incl_clamp0,actual,あ,blur,500,0.01389,1.0,42.71618,14.97848,True,60,60,20,
incl_clamp0,actual,あ,wipe,pooled,0.01389,1.0,23.30626,11.84563,True,128,128,46,
incl_clamp0,actual,あ,wipe,300,0.01389,1.0,20.53579,10.30584,True,68,68,27,
incl_clamp0,actual,あ,wipe,500,0.01389,1.0,26.02742,13.26011,True,60,60,20,
incl_clamp0,actual,か,fade,pooled,0.01389,0.94859,1.42301,0.50944,True,135,135,50,
incl_clamp0,actual,か,fade,300,0.01389,1.0,2.05586,1.6373,True,75,75,32,
incl_clamp0,actual,か,fade,500,0.01389,0.96495,1.41568,0.58845,True,60,60,19,
incl_clamp0,actual,か,reveal,pooled,0.01389,1.0,1.69459,0.6725,True,127,127,46,
incl_clamp0,actual,か,reveal,300,0.01389,1.0,1.97113,0.71104,True,64,64,25,
incl_clamp0,actual,か,reveal,500,0.01389,1.0,1.4826,0.6264,True,63,63,21,
incl_clamp0,actual,か,blur,pooled,0.01389,1.0,45.56963,9.98864,True,140,140,51,
