version,axis,char,family,speed,gamma,lambda,mu,sigma,converged,n_trials,n_rows,n_participants,note
excl_clamp0,nominal,ぱ,wipe,pooled,0.01389,0.93334,99.45348,0.10398,True,120,120,40,
excl_clamp0,nominal,ぱ,wipe,300,0.01389,0.88889,57.57333,0.0995,True,57,57,19,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性)
excl_clamp0,nominal,ぱ,wipe,500,0.01389,1.0,49.35808,0.0995,True,63,63,21,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性)
excl_clamp0,nominal,し,fade,pooled,0.01389,1.0,1.45557,0.49591,True,121,121,41,
excl_clamp0,nominal,し,fade,300,0.01389,0.9757,1.21779,0.22582,True,63,63,21,
excl_clamp0,nominal,し,fade,500,0.01389,1.0,1.52415,0.53319,True,58,58,20,
excl_clamp0,nominal,し,reveal,pooled,0.01389,0.97672,1.24123,0.56035,True,126,126,42,
excl_clamp0,nominal,し,reveal,300,0.01389,1.0,1.01665,0.6128,True,63,63,21,
excl_clamp0,nominal,し,reveal,500,0.01389,0.95107,1.46067,0.48336,True,63,63,21,
excl_clamp0,nominal,し,blur,pooled,0.01389,0.95765,33.36534,5.07482,True,123,123,41,
excl_clamp0,nominal,し,blur,300,0.01389,1.0,36.16229,6.40944,True,63,63,21,
excl_clamp0,nominal,し,blur,500,0.01389,0.92,26.15416,0.11395,True,60,60,20,
excl_clamp0,nominal,し,wipe,pooled,0.01389,1.0,17.2001,7.8442,True,120,120,39,
excl_clamp0,nominal,し,wipe,300,0.01389,1.0,20.29112,7.50123,True,60,60,19,
excl_clamp0,nominal,し,wipe,500,0.01389,1.0,14.46232,7.96002,True,60,60,20,
excl_clamp0,nominal,つ,fade,pooled,0.01389,1.0,1.58399,1.52751,True,121,121,39,
excl_clamp0,nominal,つ,fade,300,0.01389,1.0,1.47261,1.8385,True,61,61,20,
excl_clamp0,nominal,つ,fade,500,0.01389,1.0,1.63643,1.24089,True,60,60,19,
excl_clamp0,nominal,つ,reveal,pooled,0.01389,0.96274,1.3001,0.52607,True,120,120,40,
excl_clamp0,nominal,つ,reveal,300,0.01389,1.0,2.22282,1.11354,True,57,57,19,
excl_clamp0,nominal,つ,reveal,500,0.01389,1.0,1.09229,0.39705,True,63,63,21,
excl_clamp0,nominal,つ,blur,pooled,0.01389,1.0,31.37188,10.41497,True,127,127,42,
excl_clamp0,nominal,つ,blur,300,0.01389,1.0,35.01771,10.80585,True,64,64,21,
excl_clamp0,nominal,つ,blur,500,0.01389,1.0,28.50109,8.92323,True,63,63,21,
excl_clamp0,nominal,つ,wipe,pooled,0.01389,0.93266,30.38048,9.82507,True,123,123,41,
excl_clamp0,nominal,つ,wipe,300,0.01389,0.89144,22.67522,5.11018,True,60,60,20,
excl_clamp0,nominal,つ,wipe,500,0.01389,1.0,38.77649,14.89793,True,63,63,21,
excl_clamp0,nominal,ま,fade,pooled,0.01389,0.92972,1.39341,0.38795,True,123,123,41,
excl_clamp0,nominal,ま,fade,300,0.01389,0.96551,1.52463,0.45656,True,63,63,21,
excl_clamp0,nominal,ま,fade,500,0.01389,0.89448,1.27432,0.28418,True,60,60,20,
excl_clamp0,nominal,ま,reveal,pooled,0.01389,1.0,2.40866,1.04474,True,120,120,39,
excl_clamp0,nominal,ま,reveal,300,0.01389,1.0,3.5878,0.96188,True,60,60,19,
excl_clamp0,nominal,ま,reveal,500,0.01389,1.0,1.2596,0.55644,True,60,60,20,
