modality,char,family,type,level,main_accuracy,main_n,compare_group,decoy_level,decoy_accuracy,decoy_n,level_diff,diff
audio,ら,,seion,110.0,0.33333,33,all_decoy,110.0,0.84615,13,0.0,-0.51282
audio,ら,,seion,110.0,0.33333,33,same_type_decoy,110.0,0.84615,13,0.0,-0.51282
visual,あ,blur,seion,26.0,0.25,16,all_decoy,26.0,0.23204,181,0.0,0.01796
visual,あ,blur,seion,26.0,0.25,16,same_type_decoy,26.0,0.23684,114,0.0,0.01316
visual,あ,blur,seion,38.0,0.33333,15,all_decoy,38.0,0.2766,188,0.0,0.05674
visual,あ,blur,seion,38.0,0.33333,15,same_type_decoy,38.0,0.29167,120,0.0,0.04167
visual,あ,blur,seion,48.0,0.66667,15,all_decoy,48.0,0.50273,183,0.0,0.16393
visual,あ,blur,seion,48.0,0.66667,15,same_type_decoy,48.0,0.57273,110,0.0,0.09394
visual,あ,blur,seion,56.0,0.5625,16,all_decoy,56.0,0.62431,181,0.0,-0.06181
visual,あ,blur,seion,56.0,0.5625,16,same_type_decoy,56.0,0.71053,114,0.0,-0.14803
visual,あ,blur,seion,64.0,0.73333,15,all_decoy,64.0,0.76923,182,0.0,-0.0359
visual,あ,blur,seion,64.0,0.73333,15,same_type_decoy,64.0,0.82906,117,0.0,-0.09573
visual,あ,blur,seion,72.0,0.9375,16,all_decoy,72.0,0.89362,188,0.0,0.04388
visual,あ,blur,seion,72.0,0.9375,16,same_type_decoy,72.0,0.95575,113,0.0,-0.01825
visual,あ,blur,seion,84.0,0.93333,15,all_decoy,84.0,0.94565,184,0.0,-0.01232
visual,あ,blur,seion,84.0,0.93333,15,same_type_decoy,84.0,0.97561,123,0.0,-0.04228
visual,あ,blur,seion,100.0,1.0,15,all_decoy,100.0,0.98352,182,0.0,0.01648
visual,あ,blur,seion,100.0,1.0,15,same_type_decoy,100.0,0.99029,103,0.0,0.00971
visual,あ,fade,seion,0.4,0.0625,16,all_decoy,0.4,0.04372,183,0.0,0.01878
visual,あ,fade,seion,0.4,0.0625,16,same_type_decoy,0.4,0.05714,105,0.0,0.00536
visual,あ,fade,seion,0.8,0.28571,14,all_decoy,0.8,0.11538,182,0.0,0.17033
visual,あ,fade,seion,0.8,0.28571,14,same_type_decoy,0.8,0.15517,116,0.0,0.13054
visual,あ,fade,seion,1.4,0.73333,15,all_decoy,1.4,0.46703,182,0.0,0.2663
visual,あ,fade,seion,1.4,0.73333,15,same_type_decoy,1.4,0.50893,112,0.0,0.2244
visual,あ,fade,seion,2.2,0.8125,16,all_decoy,2.2,0.65775,187,0.0,0.15475
visual,あ,fade,seion,2.2,0.8125,16,same_type_decoy,2.2,0.70175,114,0.0,0.11075
visual,あ,fade,seion,3.5,0.92857,14,all_decoy,3.5,0.87432,183,0.0,0.05425
visual,あ,fade,seion,3.5,0.92857,14,same_type_decoy,3.5,0.89565,115,0.0,0.03292
visual,あ,fade,seion,6.0,1.0,16,all_decoy,6.0,0.92857,182,0.0,0.07143
visual,あ,fade,seion,6.0,1.0,16,same_type_decoy,6.0,0.92857,112,0.0,0.07143
visual,あ,fade,seion,12.0,1.0,14,all_decoy,12.0,0.95028,181,0.0,0.04972
visual,あ,fade,seion,12.0,1.0,14,same_type_decoy,12.0,0.96522,115,0.0,0.03478
visual,あ,fade,seion,100.0,1.0,15,all_decoy,100.0,0.98942,189,0.0,0.01058
visual,あ,fade,seion,100.0,1.0,15,same_type_decoy,100.0,1.0,119,0.0,0.0
visual,あ,reveal,seion,0.1,0.0,16,all_decoy,0.1,0.03191,188,0.0,-0.03191
visual,あ,reveal,seion,0.1,0.0,16,same_type_decoy,0.1,0.05825,103,0.0,-0.05825
visual,あ,reveal,seion,0.3,0.125,16,all_decoy,0.3,0.07104,183,0.0,0.05396
visual,あ,reveal,seion,0.3,0.125,16,same_type_decoy,0.3,0.09565,115,0.0,0.02935
visual,あ,reveal,seion,0.5,0.26667,15,all_decoy,0.5,0.08333,180,0.0,0.18333
visual,あ,reveal,seion,0.5,0.26667,15,same_type_decoy,0.5,0.14583,96,0.0,0.12083
visual,あ,reveal,seion,1.0,0.5,16,all_decoy,1.0,0.20765,183,0.0,0.29235
visual,あ,reveal,seion,1.0,0.5,16,same_type_decoy,1.0,0.25243,103,0.0,0.24757
visual,あ,reveal,seion,2.0,0.75,16,all_decoy,2.0,0.51596,188,0.0,0.23404
visual,あ,reveal,seion,2.0,0.75,16,same_type_decoy,2.0,0.6087,115,0.0,0.1413
visual,あ,reveal,seion,4.0,0.875,16,all_decoy,4.0,0.75956,183,0.0,0.11544
visual,あ,reveal,seion,4.0,0.875,16,same_type_decoy,4.0,0.82524,103,0.0,0.04976
