char,family,gyou,type,ink_pixels,ink_quartile,gamma,lambda,mu,sigma,converged,n_trials,note,lambda_observed_full,n_full
は,blur,は,seion,9297,Q4(画素多),0.01389,1.0,43.6448,9.05603,True,36,,1.0,3
は,fade,は,seion,9297,Q4(画素多),0.01389,1.0,2.51854,1.20854,True,18,,1.0,3
は,reveal,は,seion,9297,Q4(画素多),0.01389,0.80001,1.95187,0.0999,True,27,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);推定λとfull実測が0.20ポイント食い違う,1.0,2
は,wipe,は,seion,9297,Q4(画素多),0.01389,0.76558,2.7983,1.17586,True,18,推定λとfull実測が0.23ポイント食い違う,1.0,2
ば,blur,は,dakuon,10213,Q4(画素多),0.01389,1.0,67.02848,16.54923,True,33,,1.0,6
ば,fade,は,dakuon,10213,Q4(画素多),0.01389,0.78501,1.82357,0.0996,True,24,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),0.75,4
ば,reveal,は,dakuon,10213,Q4(画素多),0.01389,1.0,1.90768,0.42332,True,30,,1.0,4
ば,wipe,は,dakuon,10213,Q4(画素多),0.01389,1.0,94.08073,0.0995,True,33,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,2
ひ,blur,は,seion,7548,Q3,0.01389,1.0,26.03295,1.16972,True,6,full実測データなし,,0
ひ,fade,は,seion,7548,Q3,0.01389,1.0,1.74519,0.73699,True,27,,1.0,3
ひ,reveal,は,seion,7548,Q3,0.01389,1.0,3.72016,1.4002,True,30,,1.0,5
ひ,wipe,は,seion,7548,Q3,0.01389,1.0,13.81256,0.27889,True,15,,1.0,2
び,blur,は,dakuon,8075,Q3,0.01389,1.0,64.29648,0.403,True,18,,1.0,5
び,fade,は,dakuon,8075,Q3,0.01389,1.0,1.79995,0.83967,True,24,,1.0,1
び,reveal,は,dakuon,8075,Q3,0.01389,1.0,6.01285,1.23607,True,24,,1.0,4
び,wipe,は,dakuon,8075,Q3,0.01389,0.0,-24.0,1.1588,True,21,muが探索範囲の端(データの外でしか立ち上がりが説明できない);full実測データなし,,0
ぴ,blur,は,handakuon,8320,Q3,0.01389,1.0,62.28869,21.6504,True,21,,1.0,2
ぴ,fade,は,handakuon,8320,Q3,0.01389,1.0,1.72516,0.52215,True,27,,1.0,3
ぴ,reveal,は,handakuon,8320,Q3,0.01389,1.0,1.25783,0.0999,True,6,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,1
ぴ,wipe,は,handakuon,8320,Q3,0.01389,0.0,-2.72444,0.0245,True,22,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);full実測データなし,,0
ふ,blur,は,seion,6346,Q2,0.01389,0.90771,39.50623,11.07277,True,27,推定λとfull実測が0.41ポイント食い違う,0.5,2
ふ,fade,は,seion,6346,Q2,0.01389,0.93128,1.95489,0.34487,True,27,,1.0,5
ふ,reveal,は,seion,6346,Q2,0.01389,1.0,1.42881,0.5297,True,18,,1.0,2
ふ,wipe,は,seion,6346,Q2,0.01389,1.0,45.38876,14.6042,True,30,,1.0,6
ぶ,blur,は,dakuon,7264,Q2,0.01389,1.0,56.36479,16.52321,True,33,,1.0,6
ぶ,fade,は,dakuon,7264,Q2,0.01389,1.0,1.61635,0.37175,True,18,,1.0,2
ぶ,reveal,は,dakuon,7264,Q2,0.01389,0.9,3.84108,0.0999,True,36,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,5
ぶ,wipe,は,dakuon,7264,Q2,0.01389,1.0,41.14711,0.0995,True,24,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,3
ぷ,blur,は,handakuon,7484,Q2,0.01389,1.0,60.96983,13.80786,True,24,,1.0,3
ぷ,fade,は,handakuon,7484,Q2,0.01389,1.0,1.76594,0.0996,True,15,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,3
ぷ,reveal,は,handakuon,7484,Q2,0.01389,0.90001,1.84115,0.0999,True,24,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,5
ぷ,wipe,は,handakuon,7484,Q2,0.01389,1.0,40.65273,13.628,True,24,,1.0,4
へ,blur,は,seion,4465,Q1(画素少),0.01389,1.0,21.35154,10.26436,True,30,,1.0,5
へ,fade,は,seion,4465,Q1(画素少),0.01389,1.0,1.55477,0.71029,True,27,,1.0,4
へ,reveal,は,seion,4465,Q1(画素少),0.01389,1.0,0.80327,0.36633,True,24,,1.0,3
へ,wipe,は,seion,4465,Q1(画素少),0.01389,1.0,29.39922,11.46861,True,21,,1.0,3
べ,blur,は,dakuon,5401,Q1(画素少),0.01389,1.0,56.1659,13.05749,True,21,,1.0,3
