cut,modality,char,family,mu,lambda,n_trials,n_participants,converged
full_acc_healthy>=50%,visual,あ,wipe,23.41955,1.0,120,162,True
full_acc_healthy>=50%,visual,か,blur,45.56228,1.0,126,162,True
full_acc_healthy>=50%,visual,か,fade,1.39455,0.93467,121,162,True
full_acc_healthy>=50%,visual,か,reveal,1.69459,1.0,120,162,True
full_acc_healthy>=50%,visual,か,wipe,38.95907,1.0,120,162,True
full_acc_healthy>=50%,visual,が,blur,56.54411,1.0,120,162,True
full_acc_healthy>=50%,visual,が,fade,1.85762,0.96762,121,162,True
full_acc_healthy>=50%,visual,が,reveal,3.33637,0.92597,120,162,True
full_acc_healthy>=50%,visual,が,wipe,55.34718,1.0,126,162,True
full_acc_healthy>=50%,visual,ぱ,blur,68.84793,1.0,120,162,True
full_acc_healthy>=50%,visual,ぱ,fade,2.71828,0.96168,126,162,True
full_acc_healthy>=50%,visual,ぱ,reveal,3.51127,0.89914,120,162,True
full_acc_healthy>=50%,visual,ぱ,wipe,99.45348,0.93334,120,162,True
full_acc_healthy>=50%,visual,し,blur,34.115,1.0,120,162,True
full_acc_healthy>=50%,visual,し,fade,1.45557,1.0,121,162,True
full_acc_healthy>=50%,visual,し,reveal,1.24485,0.97666,126,162,True
full_acc_healthy>=50%,visual,し,wipe,17.2001,1.0,120,162,True
full_acc_healthy>=50%,visual,つ,blur,31.37188,1.0,127,162,True
full_acc_healthy>=50%,visual,つ,fade,1.58399,1.0,121,162,True
full_acc_healthy>=50%,visual,つ,reveal,1.61739,1.0,120,162,True
full_acc_healthy>=50%,visual,つ,wipe,30.31764,0.93269,120,162,True
full_acc_healthy>=50%,visual,ま,blur,44.5377,1.0,121,162,True
full_acc_healthy>=50%,visual,ま,fade,1.43708,0.96278,120,162,True
full_acc_healthy>=50%,visual,ま,reveal,2.4149,1.0,120,162,True
full_acc_healthy>=50%,visual,ま,wipe,3.96602,0.95238,126,162,True
full_acc_healthy>=50%,visual,ら,blur,47.6378,1.0,120,162,True
full_acc_healthy>=50%,visual,ら,fade,1.68598,1.0,126,162,True
